Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
rpsS	ssl3432	839811	840089	30S ribosomal protein S19	rplB // rpsS // rplV // rpsC // rplP // rpmC // rpsQ // rplN // rplX	sll1802 // ssl3432 // sll1803 // sll1804 // sll1805 // ssl3436 // ssl3437 // sll1806 // sll1807
sll0661	sll0661	3115973	3116359	DUF1257 domain-containing protein	sll0661 // sll0662	sll0661 // sll0662
slr1050	slr1050	502314	503747	dolichyl-phosphate-mannose--protein mannosyltransferase	slr1050	slr1050
slr0592	slr0592	3546840	3548315	family 10 glycosylhydrolase	slr0592	slr0592
slr0114	slr0114	2994185	2995717	PP2C family protein-serine/threonine phosphatase	slr0114	slr0114
sll1712	sll1712	970882	971184	HU family DNA-binding protein	sll1712 // sll1713	sll1712 // sll1713
sll0750	sll0750	2421536	2422687	histidine kinase	sll0750	sll0750
pgl	sll1479	3394954	3395718	6-phosphogluconolactonase	pgl	sll1479
sll1581	sll1581	719733	721247	sugar ABC transporter substrate-binding protein	sll1581	sll1581
sll0462	sll0462	2604794	2605894	AI-2E family transporter	sll0462	sll0462
slr0329	slr0329	2283794	2284777	ROK family protein	slr0329	slr0329
sll0509	sll0509	3199930	3200838	phosphorylase	sll0509	sll0509
hom	sll0455	2626573	2627874	homoserine dehydrogenase	hom	sll0455
sll1003	sll1003	518287	520272	PAS domain S-box protein	sll1003	sll1003
slr2116	slr2116	1629604	1630434	glycosyltransferase family 2 protein	slr2119 // slr2118 // SGL_RS09525 // slr2117 // slr2116 // slr2115 // slr2114 // SGL_RS18860	slr2119 // slr2118 // SGL_RS09525 // slr2117 // slr2116 // slr2115 // slr2114 // SGL_RS18860
atpE	ssl2615	176256	176501	ATP synthase Fo, c subunit	atpE	ssl2615
slr6064	slr6064	59181	59969	ATP-binding protein	slr6065 // slr6064	slr6065 // slr6064
sll5006	sll5006	14579	15133	hypothetical protein	sll5006 // SGL_RS00025	sll5006 // SGL_RS00025
lpxA	sll0379	2698258	2699145	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	lpxA // sll0380	sll0379 // sll0380
feoB	slr1392	698970	700814	ferrous iron transport protein B	feoB // ssr2333	slr1392 // ssr2333
fmt	slr0070	2600705	2601697	methionyl-tRNA formyltransferase	slr0468 // slr0467 // fmt	slr0468 // slr0467 // slr0070
sll8004	sll8004	3836	4393	AAA family ATPase	sll8004 // ssl8003 // sll8002 // sll8001	sll8004 // ssl8003 // sll8002 // sll8001
slr5023	slr5023	25994	27175	AAA family ATPase	slr5024 // slr5023 // slr5022 // slr5021 // ssr5020	slr5024 // slr5023 // slr5022 // slr5021 // ssr5020
slr7083	slr7083	78642	79775	hypothetical protein	slr7083	slr7083
slr1178	slr1178	3518845	3519312	SH3 domain-containing protein	slr1178	slr1178
psbK	sml0005	553065	553202	photosystem II reaction center protein K	psbK	sml0005
clpB	slr1641	2062905	2065523	ATP-dependent chaperone ClpB	clpB	slr1641
slr0493	slr0493	2625095	2625481	cupin domain-containing protein	slr0493	slr0493
sll0486	sll0486	2909493	2909795	circadian clock protein KaiB	sll0486	sll0486
slr1384	slr1384	680397	681572	hypothetical protein	slr1384 // ssr2317	slr1384 // ssr2317
pfkA2	sll0745	3125045	3126199	6-phosphofructokinase	pfkA2	sll0745
ssr0759	ssr0759	2085445	2085684	hypothetical protein	ssr0759 // slr1005 // SGL_RS11715	ssr0759 // slr1005 // SGL_RS11715
sll0871	sll0871	1146290	1146718	hypothetical protein	sll0871	sll0871
SGL_RS19060	SGL_RS19060	2931476	2932009	arabinofuranosidase	SGL_RS19060	SGL_RS19060
SGL_RS19000	SGL_RS19000	2445550	2445915	hypothetical protein	SGL_RS19000	SGL_RS19000
sll0691	sll0691	2630469	2631071	low-complexity tail membrane protein	sll0691	sll0691
sll0364	sll0364	2138723	2139142	DUF2358 domain-containing protein	sll0364	sll0364
slr0491	slr0491	2622968	2623402	gamma-glutamylcyclotransferase	slr0492 // slr0491 // SGL_RS19040	slr0492 // slr0491 // SGL_RS19040
sll0422	sll0422	2092519	2093508	isoaspartyl peptidase/L-asparaginase	sll0422	sll0422
cas1d	slr7016	14804	15781	type I-D CRISPR-associated endonuclease Cas1	cas2 // cas1d // cas4 // cas6 // cas5d	ssr7017 // slr7016 // slr7015 // slr7014 // slr7013
rpsG	sll1097	1918815	1919285	30S ribosomal protein S7	rpsG	sll1097
smpB	slr1639	2050948	2051412	SsrA-binding protein SmpB	smpB	slr1639
slr1910	slr1910	613801	614817	N-acetylmuramoyl-L-alanine amidase	slr1911 // slr1910	slr1911 // slr1910
sll0218	sll0218	165871	166389	hypothetical protein	sll0217 // sll0218	sll0217 // sll0218
sll1450	sll1450	1009234	1010574	ABC transporter substrate-binding protein	sll1450	sll1450
mutT	sll1045	95818	96228	8-oxo-dGTP diphosphatase MutT	mutT	sll1045
sll5122	sll5122	110524	111786	Y-family DNA polymerase	umuD // sll5122	sll5123 // sll5122
sll0167	sll0167	2317536	2318030	hypothetical protein	sll0163 // cobA // sll0167	sll0163 // sll0166 // sll0167
SGL_RS19320	SGL_RS19320	31520	31801	hypothetical protein	SGL_RS19320 // SGL_RS18590 // slr6031	SGL_RS19320 // SGL_RS18590 // slr6031
slr1467	slr1467	1825600	1826226	precorrin-8X methylmutase	slr1468 // slr1467	slr1468 // slr1467
slr1916	slr1916	619618	620469	alpha/beta hydrolase	slr1916	slr1916
rpsN	slr0628	2644795	2645097	30S ribosomal protein S14	rpsN	slr0628
SGL_RS18660	SGL_RS18660	282290	282700	hypothetical protein	SGL_RS18660	SGL_RS18660
slr1869	slr1869	1212600	1213358	hypothetical protein	slr1869	slr1869
sll1580	sll1580	724492	725367	photosystem I reaction center subunit XII	sll1580	sll1580
slr1971	slr1971	1781209	1782060	M48 family metalloprotease	slr1971	slr1971
slr6042	slr6042	37482	39119	efflux RND transporter periplasmic adaptor subunit	slr6042	slr6042
sll0024	sll0024	2461358	2462179	hypothetical protein	sll0022 // sll0023 // sll0024	sll0022 // sll0023 // sll0024
ssr1765	ssr1765	382392	382646	type II toxin-antitoxin system HicB family antitoxin	ssr1768 // SGL_RS03715 // SGL_RS18675 // slr1078 // ssr1766 // ssr1765	ssr1768 // SGL_RS03715 // SGL_RS18675 // slr1078 // ssr1766 // ssr1765
sll0494	sll0494	3224429	3225334	hypothetical protein	sll0494	sll0494
slr1098	slr1098	194877	195617	HEAT repeat domain-containing protein	slr1098	slr1098
sll1188	sll1188	313705	314199	hypothetical protein	sll1188	sll1188
cobQ	slr0618	2954593	2956089	cobyric acid synthase CobQ	slr0619 // cobQ	slr0619 // slr0618
sll1577	sll1577	726948	727466	phycocyanin subunit beta	sll1577 // cpcA	sll1577 // sll1578
slr1768	slr1768	548236	549132	prohibitin family protein	slr1768	slr1768
sll1414	sll1414	1603437	1604159	photosystem II biogenesis protein Psp29	sll1414 // sll1415	sll1414 // sll1415
sll0729	sll0729	3424667	3425524	DNA adenine methylase	accA // sll0729 // ssl1378	sll0728 // sll0729 // ssl1378
SGL_RS12890	SGL_RS12890	2351323	2365685	Ig-like domain-containing protein	SGL_RS12890	SGL_RS12890
glpK	slr1672	1952323	1953810	glycerol kinase GlpK	slr1673 // glpK	slr1673 // slr1672
slr2060	slr2060	1417284	1418681	1-acyl-sn-glycerol-3-phosphate acyltransferase	slr2060 // slr2059 // topA	slr2060 // slr2059 // slr2058
slr0938	slr0938	2000815	2002194	Mur ligase family protein	slr0938	slr0938
sll0909	sll0909	2020349	2021035	DnaJ family molecular chaperone	sll0909 // sll0910 // sll0911	sll0909 // sll0910 // sll0911
sll5086	sll5086	85552	86997	PLP-dependent aminotransferase family protein	sll5086	sll5086
sll1389	sll1389	1822054	1822620	hypothetical protein	sll1389 // ssl2717	sll1389 // ssl2717
acsF	sll1874	1805220	1806296	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	acsF	sll1874
slr0421	slr0421	2700069	2700818	alpha/beta hydrolase	slr0421	slr0421
SGL_RS19400	SGL_RS19400	8301	8450	hypothetical protein	SGL_RS19400	SGL_RS19400
ssl0738	ssl0738	2711419	2711637	type II toxin-antitoxin system HicB family antitoxin	ssl0738 // SGL_RS14515	ssl0738 // SGL_RS14515
sll0662	sll0662	3115572	3115973	ferredoxin	sll0661 // sll0662	sll0661 // sll0662
sll0498	sll0498	3218679	3219131	TM2 domain-containing protein	sll0497 // sll0498	sll0497 // sll0498
slr0092	slr0092	2900089	2900862	glycosyltransferase	slr0092 // slr0091	slr0092 // slr0091
ssr3300	ssr3300	2242874	2243137	hypothetical protein	ssr3300	ssr3300
bchI	slr1030	658262	659335	magnesium chelatase ATPase subunit I	tyrS // bchI	slr1031 // slr1030
rplA	sll1744	924086	924802	50S ribosomal protein L1	rplK // rplA	sll1743 // sll1744
plsY	sll1973	1575924	1576592	glycerol-3-phosphate 1-O-acyltransferase PlsY	plsY	sll1973
cysK	slr1842	960156	961094	cysteine synthase A	cysK	slr1842
slr1076	slr1076	380030	381175	glycosyltransferase	slr1077 // slr1076	slr1077 // slr1076
slr1043	slr1043	491508	492059	hypothetical protein	slr1043	slr1043
sll1946	sll1946	563448	565925	phospholipid carrier-dependent glycosyltransferase	sll1946	sll1946
hisG	sll0900	3233177	3233809	ATP phosphoribosyltransferase	glmU // hisG	sll0899 // sll0900
sll1521	sll1521	2076547	2078340	flavin oxidoreductase	recN // sll1521 // pgsA	sll1520 // sll1521 // sll1522
pyrE	slr0185	2336427	2337023	orotate phosphoribosyltransferase	pyrE	slr0185
sll0293	sll0293	2298606	2299118	hypothetical protein	sll0293 // sll0294	sll0293 // sll0294
sll7067	sll7067	60905	62581	hypothetical protein	sll7067 // sll7066 // sll7065	sll7067 // sll7066 // sll7065
sll1851	sll1851	2235072	2235458	hypothetical protein	sll1851	sll1851
coaBC	sll0250	1514130	1515338	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	ssl0461 // coaBC	ssl0461 // sll0250
sll0712	sll0712	100794	101771	cysteine synthase A	sll0712	sll0712
pyrF	sll0838	1363837	1364532	orotidine-5'-phosphate decarboxylase	pyrF	sll0838
sll1150	sll1150	1396311	1397039	membrane protein	sll1150	sll1150
sll1217	sll1217	1683583	1684260	hypothetical protein	sll1217	sll1217
sll1725	sll1725	947511	949343	ABC transporter ATP-binding protein	sll1725 // sll1726	sll1725 // sll1726
sll1109	sll1109	3521783	3522367	DUF3727 domain-containing protein	sll1109	sll1109
slr1661	slr1661	3465779	3467743	ShlB/FhaC/HecB family hemolysin secretion/activation protein	slr1661	slr1661
slr1800	slr1800	278494	279561	hypothetical protein	slr1800	slr1800
slr0446	slr0446	2097643	2098602	AAA family ATPase	slr0446	slr0446
sll0041	sll0041	3148975	3151977	GAF domain-containing protein	sll0041	sll0041
slr1906	slr1906	609469	610053	GNAT family N-acetyltransferase	slr1906	slr1906
sll0006	sll0006	2494205	2495389	aspartate aminotransferase	sll0006	sll0006
slr1149	slr1149	813799	815604	ABC transporter ATP-binding protein	slr1149	slr1149
psbE	ssr3451	570658	570903	cytochrome b559 subunit alpha	psbJ // psbL // psbF // psbE	smr0008 // smr0007 // smr0006 // ssr3451
sll0447	sll0447	3485837	3486643	hypothetical protein	sll0447 // sll0448 // sll0449	sll0447 // sll0448 // sll0449
ychF	sll0245	1520009	1521100	redox-regulated ATPase YchF	ychF	sll0245
sll0854	sll0854	1344140	1345066	hypothetical protein	sll0854 // clcA	sll0854 // sll0855
SGL_RS18815	SGL_RS18815	1467355	1467699	transposase	SGL_RS18815	SGL_RS18815
sll5036	sll5036	35079	36365	FAD-dependent oxidoreductase	sll5036 // SGL_RS18475	sll5036 // SGL_RS18475
panB	slr0526	3183014	3183796	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB // slr0525	slr0526 // slr0525
rsmH	sll1144	1017600	1018493	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	rsmH	sll1144
miaB	sll0996	634892	636247	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB // sll0997	sll0996 // sll0997
sll1080	sll1080	797734	798792	aliphatic sulfonate ABC transporter substrate-binding protein	sll1080	sll1080
cobO	slr0260	1507481	1508092	cob(I)yrinic acid a,c-diamide adenosyltransferase	cobO	slr0260
sll0864	sll0864	1160787	1161260	M67 family metallopeptidase	sll0864	sll0864
SGL_RS19175	SGL_RS19175	572574	572672	DUF2887 domain-containing protein	SGL_RS19175 // proB	SGL_RS19175 // slr2035
sll1507	sll1507	469001	469546	alpha/beta hydrolase	sll1507	sll1507
psbX	sml0002	2613481	2613600	photosystem II reaction center X protein	psbX	sml0002
sll1971	sll1971	905575	906789	glycosyltransferase family 4 protein	sll1971	sll1971
sll1232	sll1232	1661722	1662285	Uma2 family endonuclease	sll1231 // sll1232	sll1231 // sll1232
rpsB	sll1260	1722160	1722969	30S ribosomal protein S2	rpsB	sll1260
sll1552	sll1552	3448208	3449110	GNAT family N-acetyltransferase	sll1552	sll1552
sll1001	sll1001	523016	523798	ABC transporter ATP-binding protein	ssl1918 // sll1001	ssl1918 // sll1001
glmM	sll1758	1237543	1238988	phosphoglucosamine mutase	glmM	sll1758
sll0786	sll0786	3068630	3069208	GNAT family N-acetyltransferase	sll0784 // sll0785 // sll0786 // sll0787 // ssl1464 // SGL_RS19090	sll0784 // sll0785 // sll0786 // sll0787 // ssl1464 // SGL_RS19090
slr1115	slr1115	63588	64361	class I SAM-dependent methyltransferase	slr1116 // slr1115 // slr1114	slr1116 // slr1115 // slr1114
sll0983	sll0983	667852	668481	hypothetical protein	sll0983	sll0983
slr0263	slr0263	1511672	1511977	hypothetical protein	slr0264 // slr0263	slr0264 // slr0263
SGL_RS18755	SGL_RS18755	1095772	1096683	M48 family metallopeptidase	SGL_RS18755	SGL_RS18755
trmB	sll1300	676351	676986	tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB	sll1300
slr0081	slr0081	2885055	2885810	response regulator transcription factor	slr0081	slr0081
ssr2962	ssr2962	545029	545253	DUF433 domain-containing protein	slr1767 // ssr2962	slr1767 // ssr2962
sll0306	sll0306	2269126	2270112	RNA polymerase sigma factor, RpoD/SigA family	sll0306	sll0306
ssr2142	ssr2142	290902	291174	YggT family protein	ssr2142	ssr2142
slr0287	slr0287	2128168	2128524	KH domain-containing protein	slr0287 // rpsP	slr0287 // ssr0482
ilvD	slr0452	3498903	3500588	dihydroxy-acid dehydratase	ilvD	slr0452
sll1123	sll1123	866374	867144	hypothetical protein	sll1123 // sll1124	sll1123 // sll1124
SGL_RS18670	SGL_RS18670	379065	379913	IS630 family transposase	SGL_RS18670	SGL_RS18670
sll1049	sll1049	88818	90512	transglutaminase family protein	sll1049	sll1049
sll1442	sll1442	1892478	1892825	hypothetical protein	sll1442 // SGL_RS10810	sll1442 // SGL_RS10810
sll1504	sll1504	475435	475743	nucleotidyltransferase family protein	sll1504 // sll1505	sll1504 // sll1505
sll1542	sll1542	3478132	3479034	DUF2887 domain-containing protein	sll1542	sll1542
purF	sll0757	2412826	2414313	amidophosphoribosyltransferase	purF	sll0757
sll0576	sll0576	3540326	3541258	SDR family oxidoreductase	sll0576	sll0576
slr1129	slr1129	93128	95152	ribonuclease E/G	slr1129	slr1129
slr2143	slr2143	1271069	1272274	aminotransferase class V-fold PLP-dependent enzyme	slr2143	slr2143
slr0904	slr0904	2775767	2777296	YifB family Mg chelatase-like AAA ATPase	slr0904	slr0904
slr0654	slr0654	3330281	3331042	hypothetical protein	slr0656 // slr0655 // slr0654	slr0656 // slr0655 // slr0654
sll7063	sll7063	54005	56392	TIGR03986 family CRISPR-associated RAMP protein	sll7064 // sll7063 // sll7062	sll7064 // sll7063 // sll7062
slr1383	slr1383	679690	680178	type II toxin-antitoxin system VapC family toxin	slr1383	slr1383
slr2125	slr2125	1637476	1638270	DUF115 domain-containing protein	slr2125 // slr2124 // slr2123 // slr2122 // slr2121 // slr2120	slr2125 // slr2124 // slr2123 // slr2122 // slr2121 // slr2120
sll1476	sll1476	3398409	3398717	hypothetical protein	sll1476	sll1476
cphB	slr2001	1447097	1447912	cyanophycinase	slr2003 // cphA // cphB	slr2003 // slr2002 // slr2001
lpxD	slr0776	2403473	2404507	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	lpxD	slr0776
sll1937	sll1937	583157	583573	transcriptional repressor	sll1937	sll1937
slr1266	slr1266	1858047	1858604	DUF2808 domain-containing protein	ggt // slr1267 // slr1266	slr1269 // slr1267 // slr1266
ST6803t07	ST6803t07	633304	633384	tRNA-Leu	ST6803t07	ST6803t07
slr1152	slr1152	1910499	1911494	pentapeptide repeat-containing protein	slr1152	slr1152
slr1862	slr1862	1199798	1200412	hypothetical protein	slr1862	slr1862
sll1255	sll1255	1729012	1730028	IS4-like element IS4Sa family transposase	sll1255	sll1255
SGL_RS19170	SGL_RS19170	398188	398361	high light inducible protein	SGL_RS19170	SGL_RS19170
slr6057	slr6057	54708	55295	ImmA/IrrE family metallo-endopeptidase	slr6057 // slr6056	slr6057 // slr6056
slr6072	slr6072	68201	69757	DUF2357 domain-containing protein	slr6075 // slr6074 // slr6073 // slr6072	slr6075 // slr6074 // slr6073 // slr6072
sll1656	sll1656	279512	280087	DUF3611 family protein	sll1654 // sll1655 // sll1656	sll1654 // sll1655 // sll1656
slr0794	slr0794	3051772	3054936	CusA/CzcA family heavy metal efflux RND transporter	slr0795 // slr0794 // slr0793	slr0795 // slr0794 // slr0793
zds	slr0940	2004626	2006095	9,9'-di-cis-zeta-carotene desaturase	slr0941 // zds	slr0941 // slr0940
sll7069	sll7069	64005	64319	hypothetical protein	sll7070 // sll7069	sll7070 // sll7069
slr0280	slr0280	2105813	2107645	phosphodiester glycosidase family protein	slr0280	slr0280
slr0820	slr0820	1709232	1710668	sugar transferase	slr0820	slr0820
ssl7004	ssl7004	1799	2032	DNA-binding protein	ssl7004	ssl7004
rlmD	sll1967	909603	910994	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	rlmD	sll1967
ureF	slr1899	849095	849748	urease accessory protein UreF	ureF	slr1899
ssl1911	ssl1911	631896	632093	hypothetical protein	ssl1911	ssl1911
sll1064	sll1064	65827	67533	metallophosphoesterase family protein	sll1064	sll1064
sll0178	sll0178	2755703	2759662	NACHT domain-containing NTPase	sll0178 // SGL_RS14730	sll0178 // SGL_RS14730
slr0537	slr0537	3201688	3202689	adenosine kinase	slr0537	slr0537
slr7080	slr7080	75157	76089	hypothetical protein	slr7080	slr7080
slr1505	slr1505	1587231	1587827	late competence development ComFB family protein	slr1505	slr1505
ssl0564	ssl0564	2286798	2287067	helix-turn-helix transcriptional regulator	ssl0564	ssl0564
sll1291	sll1291	691371	692576	response regulator	sll1291	sll1291
sll0733	sll0733	3418971	3419420	DUF4278 domain-containing protein	sll0733	sll0733
slr0440	slr0440	2562056	2562859	alpha/beta hydrolase	slr0440	slr0440
sll1106	sll1106	3531885	3532400	DUF1269 domain-containing protein	sll1106	sll1106
sll1841	sll1841	2251657	2252958	2-oxo acid dehydrogenase subunit E2	sll1841	sll1841
sll1920	sll1920	764301	766538	copper-translocating P-type ATPase	sll1920	sll1920
slr0201	slr0201	2733081	2733986	heterodisulfide reductase	slr0201	slr0201
ssr3000	ssr3000	264190	264477	DUF2288 domain-containing protein	ssr3000	ssr3000
murA	slr0017	2486607	2487923	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	slr0017
glnA	slr1756	531446	532867	type I glutamate--ammonia ligase	glnA	slr1756
cas5d	slr7013	12674	13438	type I-D CRISPR-associated protein Cas5/Csc1	cas2 // cas1d // cas4 // cas6 // cas5d	ssr7017 // slr7016 // slr7015 // slr7014 // slr7013
sll0473	sll0473	2929703	2930755	ABC transporter substrate-binding protein	sll0473 // sll0474	sll0473 // sll0474
sll1535	sll1535	2043107	2043838	sugar transferase	sll1535	sll1535
slr7024	slr7024	22328	24058	DUF262 domain-containing protein	slr7026 // slr7025 // slr7024	slr7026 // slr7025 // slr7024
slr0882	slr0882	1143053	1144231	YjgP/YjgQ family permease	slr0882	slr0882
sll1374	sll1374	1841056	1842690	MFS transporter	sll1374	sll1374
pfkA1	sll1196	293878	294963	ATP-dependent 6-phosphofructokinase	pfkA1	sll1196
purC	slr1226	1030195	1030989	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	slr1226
sll0549	sll0549	2809055	2809804	PHP domain-containing protein	sll0549	sll0549
SGL_RS18990	SGL_RS18990	2443999	2444847	IS630-like element ISTcSa family transposase	SGL_RS18990	SGL_RS18990
SGL_RS19160	SGL_RS19160	88430	91103	N-6 DNA methylase	slr6097 // SGL_RS19160 // SGL_RS18620	slr6097 // SGL_RS19160 // SGL_RS18620
